ID,Name,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
T10M_MAX,Temperature at 10 Meters Maximum,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The maximum hourly air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,"Maximum Dry Bulb Temperature at 10 Meters,Maximum Temperature at 10 Meters,Daily Maximum Temperature at 10m,Peak Air Temperature at 10m","Maximum Dry Bulb Temperature at 10 Meters,Maximum Temperature at 10 Meters,Daily Maximum Temperature at 10m,Peak Air Temperature at 10m",
T10M_MAX_AVG,Temperature at 10 Meters Maximum Average,"official,meteorology","api,aws","monthly,annual,climatology",The average of the daily maximum air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,"Mean Daily Maximum Temperature at 10 Meters,Average High Temperature at 10m","Mean Daily Maximum Temperature at 10 Meters,Average High Temperature at 10m",
T10M_MIN,Temperature at 10 Meters Minimum,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The minimum hourly air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,"Minimum Dry Bulb Temperature at 10 Meters,Minimum Temperature at 10 Meters,Daily Minimum Temperature at 10m","Minimum Dry Bulb Temperature at 10 Meters,Minimum Temperature at 10 Meters,Daily Minimum Temperature at 10m",
T10M_MIN_AVG,Temperature at 10 Meters Minimum Average,"official,meteorology","api,aws","monthly,annual,climatology",The average of the daily minimum air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,"Mean Daily Minimum Temperature at 10 Meters,Average Low Temperature at 10m","Mean Daily Minimum Temperature at 10 Meters,Average Low Temperature at 10m",
T10M_RANGE,Temperature at 10 Meters Range,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The minimum and maximum hourly air (dry bulb) temperature range at 10 meters above the surface of the earth in the period of interest.,"Dry Bulb Temperature Range at 10 Meters,Diurnal Temperature Range at 10 Meters,Temperature Amplitude at 10 Meters","Dry Bulb Temperature Range at 10 Meters,Diurnal Temperature Range at 10 Meters,Temperature Amplitude at 10 Meters",
T2M_MAX_AVG,Temperature at 2 Meters Maximum Average,"official,meteorology","api,aws","monthly,annual,climatology",The average of the daily maximum air (dry bulb) temperature at 2 meters above the surface of the earth in the period of interest.,"Mean Daily Maximum Temperature,Average High Temperature,Climatological Maximum Temperature","Mean Daily Maximum Temperature,Average High Temperature,Climatological Maximum Temperature",
T2M_MIN_AVG,Temperature at 2 Meters Minimum Average,"official,meteorology","api,aws","monthly,annual,climatology",The average of the daily minimum air (dry bulb) temperature at 2 meters above the surface of the earth in the period of interest.,"Mean Daily Minimum Temperature,Average Low Temperature,Climatological Minimum Temperature","Mean Daily Minimum Temperature,Average Low Temperature,Climatological Minimum Temperature",
TM_ZONES,Climate Thermal and Moisture Zones,"official,meteorology","api,aws",climatology,The ASHRAE® climate thermal moisture zones used to support building energy efficiency.,"Temperature-Moisture Climate Zones,ASHRAE Climate Zone Classification,Combined Thermal-Humidity Zones,Building Climate Zone","Temperature-Moisture Climate Zones,ASHRAE Climate Zone Classification,Combined Thermal-Humidity Zones,Building Climate Zone",
TO3,Total Column Ozone,"official,nrt,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The total amount of ozone in a column extending vertically from the earth's surface to the top of the atmosphere.,"Total Ozone Column,Columnar Ozone,Ozone Layer Thickness,Total Ozone in Dobson Units,TOC","Total Ozone Column,Columnar Ozone,Ozone Layer Thickness,Total Ozone in Dobson Units,TOC",
TOA_SW_DNI_MAX,Top-Of-Atmosphere Shortwave Direct Normal Radiation Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum total solar irradiance incident (direct plus diffuse) on a horizontal plane where oriented to the sun's position at the top of the atmosphere (extraterrestrial radiation).,,,
